,tweet
0,A statement from MBTA General Manager Steve Poftak:
1,Hello Deb - thanks for reaching out to us. Boylston Station is open. All train service has resumed at all stations.
2,"Hi Stephanie - normal train service is running. To travel to Lechmere from Downtown Crossing, take a northbound Orange Line train to North Station, make your way to the street level, and board a shuttle bus that will take you to Lechmere."
3,Update: Train service is resuming at all stations.
4,"Hello, we are sorry to hear about this. We have alerted Bus Supervisors to look into this incident."
5,"Green, Red, Orange: At the request of the police, all trains are bypassing Park Street and Downtown Crossing until further notice. Passengers can use South Station, Charles/MGH, Haymarket, and Tufts for alternative service."
6,"Hi there, thanks for reaching out. Can you tell us what bus stop you are currently waiting at, along with the direction of your trip on the 104?"
7,Hello - thanks for letting us know about this. We will send this message to bus supervisors so they can make sure this item is sent to Lost and Found.
8,Thanks for the additional information. We will pass it on to Bus Supervisors to investigate.
9,Hello James and thanks for reaching out. Did the bus appear to be full?
10,Good Morning Maggie. Can you tell us what the motorperson is doing?
11,Hello and thanks for reaching out. We will pass this on to Supervisors to look into.
12,"Since Oct 2018, work on the Green Line D Branch Track & Signal Replacement Project has been limited to nights/weekends. With two 9-day closures, we can make major progress sooner & work more efficiently to save 162 days of diversions. http://mbta.com/GreenLineD #BuildingABetterT"
13,Good Morning Claudia and thanks for reaching out. We will pass this on to Red Line Supervisors and Station Maintenance to address.
14,"Good evening James, train service has resumed at all stations."
15,"Good evening, train service has resumed at all stations."
16,"Good evening Ariel, train service has resumed at all stations."
17,"Good evening, train service has resumed at all stations."
18,"Hi Patrick, the SL5 will remain on detour through the end of service, and Route 43 has been suspended for the night."
19,Update: Train service is resuming at all stations.
20,"Orange Line: At the request of the police, Trains are bypassing Chinatown until further notice. Alternative service: Haymarket or Tufts Medical."
21,"Green, Red, Orange: At the request of Transit Police, trains are bypassing Park Street and Downtown Crossing until further notice. Passengers can utilize South Station, Charles/MGH, Haymarket, and Tufts Medical for alternative service."
22,"Good evening CJ, The 214 and 216 are experiencing delays due to a demonstration, and are being detoured. Click on the link below to view the alert and nearest connection options: https://www.mbta.com/alerts/subway"
23,Orange Line Update: Regularly scheduled service has resumed.
24,Green Line D Branch Update: Regularly scheduled service has resumed.
25,Orange Line Update: Train service is resuming with residual delays.
26,Green Line D branch experiencing delays of up to 10 minutes due to an earlier report of smoke near Newton Highlands. The area was checked and cleared for trolley service to resume.
27,Orange Line experiencing delays of up to 10 minutes due to a police investigation at Assembly. Trains may stand by at stations.
28,"Good evening, thanks for reaching out. All trains are currently running on schedule and are making stops at all stations."
29,Mattapan Trolley Update: Regularly scheduled service has resumed. The trolley was removed from service.
30,Mattapan Trolley experiencing delays of up to 10 minutes due to a trolley with a mechanical problem.
31,Hi Sarah we apologize about this. We recommend checking back soon with station officials or transit ambassadors to see if they received a shipment. You can also contact our customer support team at 617-222-3200 or via the link below for further assistance: https://www.mbta.com/customer-support
32,"Hi Chris. We are requiring riders and employees to wear face coverings, cleaning/sanitizing our stations and vehicles on a daily basis, along with monitoring and adjusting service levels to promote social distancing. You can learn more here: http://mbta.com/covid19/faq"
33,"Hi Sandra, thanks for reaching out. We will most likely be diverting buses in this area and will alert customers via T alerts, Twitter and our website when these diversions go into effect. As of right now, these buses are on their regular routes."
34,"Thank you, we have alerted Bus Supervisors to look into this."
35,"Hello Chris, thanks for letting us know. Can you give us the bus number?"
36,"Hi. We understand your concern. As we've done in the past, we bypass stations for Boston Marathon, St.Patrick‰Ûªs Day i.e. any large social, political, or sporting marches/parades/demonstrations. We will work to better communicate nearby open stations so attendees get home safely."
37,Thanks. We've passed it on to Bus Supervisors to look into.
38,Thanks for the additional info. Can you tell us the street?
39,Hello and thanks for reaching out about this. Can you give us the number of the bus you saw or where you saw it?
40,Hello Christopher and thanks for reaching out. We will pass this on to Green Line Supervisors and Fare Gate Maintenance to address.
41,"Over 14 days, Blue Line crews renovated tracks for faster service, drainage for flood resiliency, standpipes for improved safety, & station amenities for a better rider experience. Building on what we learned & accomplished, we look forward to the next diversion.#BuildingABetterT"
42,Red Line Braintree Branch Update: Regularly scheduled service has resumed.
43,Red Line Braintree Branch: Delays of up to 10 minutes southbound due to a train with an earlier mechanical problem.
44,Good Morning and thanks for reaching out. We will pass this on to Bus Supervisors to address.
45,Good Morning Chris and thanks for reaching out. Can you tell us where you boarded?
46,Orange Line Update: Regularly scheduled service has resumed.
47,Orange Line: Delays of up to 10 minutes southbound due to a train with a mechanical problem at Oak Grove.
48,"Hi David, this signal issue has been resolved and trains are back on schedule."
49,Orange Line Update: Regularly scheduled service has resumed.
50,Orange Line Update: Residual delays of up to 10 minutes due to an earlier signal problem at Back Bay.
51,Orange Line experiencing delays of up to 15 minutes due to a signal problem at Back Bay.
52,"Hello, thanks for letting us know. We will alert our maintenance team to have this cleaned up and fixed."
53,Green Line E Branch Update: Regularly scheduled service has resumed.
54,Green Line E Branch Update: Regular train service is resuming.
55,"Please be advised, during public demonstrations, MBTA services may bypass stations and detour routes under the direction of public safety and law enforcement personnel. This is done in the interest of our riders‰Ûª and employees‰Ûª safety. http://ow.ly/N3Cn50zW5hk"
56,"Green Line E branch: Due to an auto blocking the tracks, E branch trains will end at Brigham Circle. Passengers can utilize the Route 39 bus for alternative service."
